0,38.100167,-84.548951
1,38.099962,-84.548186
2,38.101081,-84.547311
3,38.101244,-84.547446
4,38.100876,-84.547293
5,38.100709,-84.547349
6,38.103599,-84.552529
7,38.103261,-84.553039
8,38.103336,-84.552665
9,38.102112,-84.552743
10,38.102040,-84.552463
11,38.102289,-84.553201
12,38.101915,-84.550559
13,38.101837,-84.550538
14,38.101863,-84.550421
15,38.103021,-84.550259
16,38.101530,-84.549050
17,38.101055,-84.547927
18,38.101812,-84.551285
19,38.101266,-84.551545
20,38.102508,-84.548997
21,38.100794,-84.548379
22,38.102801,-84.553769
23,38.102230,-84.549605
24,38.100089,-84.548659
