316103125	950.58	992.3333333	994.3333333	992.3333333	993.3333333	906.6666667	907.6666667	872.3333333	940	814.3333333	806.6666667	809	809	887.6666667	974.3333333	705.6666667	781	865.6666667	980	865.6666667
316103130	951.3	994.3333333	992.3333333	993.3333333	992.3333333	903.3333333	902.3333333	867.6666667	941	813.3333333	806.6666667	810	809	885.6666667	973.3333333	713.3333333	781	879	979	867.6666667
316103135	950.9	987.6666667	986.6666667	987.6666667	987.6666667	905.6666667	907.6666667	872.3333333	940	814.3333333	805.6666667	811	811	885.6666667	974.3333333	720	781	881	979	865.6666667
316103140	951.08	993.3333333	992.3333333	994.3333333	994.3333333	905.6666667	907.6666667	874.3333333	940	812.3333333	807.6666667	809	810	886.6666667	974.3333333	720	781	879	979	874.3333333
316103145	952.62	992.3333333	992.3333333	993.3333333	992.3333333	905.6666667	906.6666667	872.3333333	940	814.3333333	819	817.6666667	817.6666667	885.6666667	972.3333333	714.3333333	781	880	980	867.6666667
316103150	952.26	992.3333333	993.3333333	993.3333333	993.3333333	907.6666667	905.6666667	872.3333333	941	819	819	820	819	885.6666667	972.3333333	720	787.6666667	879	981	880
316103155	952.09	994.3333333	993.3333333	993.3333333	994.3333333	874.3333333	873.3333333	873.3333333	872.3333333	826.6666667	821	824.3333333	822.3333333	893.3333333	974.3333333	721	787.6666667	886.6666667	979	879
316103200	951.65	993.3333333	992.3333333	992.3333333	992.3333333	872.3333333	873.3333333	874.3333333	873.3333333	819	819	820	821	885.6666667	972.3333333	719	792.3333333	880	981	881
316103205	952.13	994.3333333	993.3333333	994.3333333	992.3333333	873.3333333	873.3333333	874.3333333	872.3333333	827.6666667	821	822.3333333	824.3333333	893.3333333	973.3333333	721	794.3333333	880	987.6666667	879
316103210	950.88	994.3333333	993.3333333	993.3333333	994.3333333	881	880	881	879	826.6666667	819	822.3333333	823.3333333	901	972.3333333	719	794.3333333	881	987.6666667	881
316103215	950.5	1006.666667	1006.666667	1007.666667	1007.666667	910	911	881	940	833.3333333	819	827.6666667	825.6666667	885.6666667	974.3333333	720	793.3333333	881	986.6666667	881
316103220	951.77	1001	999	999	999	879	880	879	880	834.3333333	820	827.6666667	825.6666667	894.3333333	974.3333333	721	794.3333333	881	992.3333333	879
316103225	951.59	1006.666667	1005.666667	1005.666667	1005.666667	921	919	887.6666667	952.3333333	834.3333333	820	826.6666667	826.6666667	887.6666667	980	719	792.3333333	879	987.6666667	879
316103230	952.42	1007.666667	1005.666667	1005.666667	1006.666667	917.6666667	917.6666667	881	954.3333333	834.3333333	819	826.6666667	827.6666667	892.3333333	986.6666667	726.6666667	793.3333333	900	993.3333333	885.6666667
316103235	952.74	1005.666667	1005.666667	1006.666667	1006.666667	920	919	887.6666667	952.3333333	832.3333333	819	827.6666667	826.6666667	892.3333333	980	727.6666667	794.3333333	885.6666667	994.3333333	881
316103240	952.56	1013.333333	1014.333333	1012.333333	1014.333333	885.6666667	886.6666667	885.6666667	887.6666667	832.3333333	827.6666667	830	831	892.3333333	979	727.6666667	801	887.6666667	992.3333333	885.6666667
316103245	950.25	1014.333333	1014.333333	1014.333333	1014.333333	14.33333333	617.7777778	885.6666667	952.3333333	834.3333333	827.6666667	829	829	905.6666667	980	725.6666667	799	894.3333333	992.3333333	887.6666667
316103250	950.83	1012.333333	1013.333333	1014.333333	1013.333333	923.3333333	922.3333333	885.6666667	959	832.3333333	825.6666667	829	830	905.6666667	974.3333333	725.6666667	801	887.6666667	1000	885.6666667
316103255	951.45	1014.333333	1012.333333	1014.333333	1014.333333	923.3333333	922.3333333	886.6666667	961	834.3333333	825.6666667	830	829	906.6666667	986.6666667	726.6666667	801	886.6666667	1000	886.6666667
316103300	950.83	1013.333333	1014.333333	1014.333333	1014.333333	922.3333333	922.3333333	885.6666667	961	833.3333333	825.6666667	829	830	907.6666667	985.6666667	733.3333333	800	885.6666667	999	886.6666667
316103305	949.99	1013.333333	1013.333333	1012.333333	1013.333333	893.3333333	894.3333333	892.3333333	892.3333333	833.3333333	826.6666667	830	829	906.6666667	994.3333333	734.3333333	801	885.6666667	1000	885.6666667
316103310	951.31	1013.333333	1014.333333	1013.333333	1012.333333	894.3333333	892.3333333	893.3333333	893.3333333	841	825.6666667	834.3333333	833.3333333	906.6666667	993.3333333	740	807.6666667	900	1000	885.6666667
316103315	952.5	1012.333333	1014.333333	1012.333333	1013.333333	893.3333333	892.3333333	893.3333333	892.3333333	841	833.3333333	835.6666667	836.6666667	907.6666667	992.3333333	739	807.6666667	899	1000	886.6666667
316103320	952.05	1013.333333	1014.333333	1014.333333	1014.333333	927.6666667	926.6666667	893.3333333	961	839	833.3333333	836.6666667	837.6666667	906.6666667	992.3333333	739	813.3333333	900	1007.666667	900
316103325	951.4	1014.333333	1014.333333	1012.333333	1012.333333	927.6666667	927.6666667	894.3333333	960	839	839	840	839	905.6666667	992.3333333	740	812.3333333	900	999	901
316103330	953.24	1013.333333	1012.333333	1013.333333	1012.333333	925.6666667	927.6666667	893.3333333	959	839	839	840	839	913.3333333	993.3333333	740	814.3333333	899	1007.666667	901
316103335	952.12	1026.666667	1026.666667	1025.666667	1025.666667	927.6666667	927.6666667	892.3333333	961	854.3333333	840	847.6666667	847.6666667	905.6666667	992.3333333	739	814.3333333	900	1007.666667	892.3333333
316103340	953.87	1025.666667	1027.666667	1025.666667	1027.666667	926.6666667	925.6666667	892.3333333	961	852.3333333	839	845.6666667	845.6666667	912.3333333	994.3333333	741	813.3333333	899	1013.333333	899
316103345	952.96	1027.666667	1025.666667	1026.666667	1027.666667	930	930	893.3333333	966.6666667	853.3333333	840	846.6666667	847.6666667	912.3333333	994.3333333	746.6666667	813.3333333	899	1020	907.6666667
316103350	952.71	1025.666667	1026.666667	1026.666667	1026.666667	933.3333333	933.3333333	899	966.6666667	853.3333333	841	847.6666667	846.6666667	914.3333333	993.3333333	746.6666667	813.3333333	905.6666667	1021	900
316103355	953.15	1026.666667	1026.666667	1025.666667	1027.666667	940	940	906.6666667	972.3333333	852.3333333	840	847.6666667	846.6666667	912.3333333	1001	746.6666667	813.3333333	905.6666667	1021	905.6666667
316103400	952.29	1025.666667	1025.666667	1025.666667	1025.666667	941	939	906.6666667	973.3333333	852.3333333	845.6666667	850	849	920	1000	747.6666667	820	913.3333333	1026.666667	901
316103405	954.13	1034.333333	1034.333333	1033.333333	1032.333333	14.33333333	461	907.6666667	460	852.3333333	845.6666667	849	851	927.6666667	1005.666667	746.6666667	819	906.6666667	1027.666667	905.6666667
316103410	952.75	1033.333333	1034.333333	1032.333333	1032.333333	12.33333333	633.3333333	913.3333333	972.3333333	852.3333333	847.6666667	851	850	921	1012.333333	752.3333333	820	907.6666667	1027.666667	907.6666667
316103415	952.5	1033.333333	1033.333333	1034.333333	1034.333333	947.6666667	946.6666667	914.3333333	980	853.3333333	845.6666667	850	849	921	1014.333333	752.3333333	820	901	1025.666667	906.6666667
316103420	953.64	1034.333333	1033.333333	1032.333333	1033.333333	981	979	979	979	859	847.6666667	853.3333333	852.3333333	927.6666667	1005.666667	760	826.6666667	906.6666667	1027.666667	905.6666667
316103425	955.1	1034.333333	1034.333333	1033.333333	1034.333333	946.6666667	947.6666667	914.3333333	979	859	847.6666667	852.3333333	853.3333333	927.6666667	1013.333333	753.3333333	834.3333333	906.6666667	1027.666667	905.6666667
316103430	954.87	1034.333333	1034.333333	1033.333333	1033.333333	947.6666667	947.6666667	912.3333333	980	859	854.3333333	857.6666667	857.6666667	925.6666667	1013.333333	760	834.3333333	913.3333333	1032.333333	914.3333333
316103435	954.93	1033.333333	1032.333333	1032.333333	1034.333333	946.6666667	946.6666667	912.3333333	980	860	859	860	859	927.6666667	1013.333333	761	827.6666667	919	1041	919
316103440	955.43	1040	1039	1039	1039	945.6666667	946.6666667	914.3333333	981	866.6666667	859	862.3333333	864.3333333	926.6666667	1012.333333	760	834.3333333	920	1041	913.3333333
316103445	953.92	1039	1040	1039	1039	946.6666667	947.6666667	914.3333333	980	873.3333333	861	866.6666667	866.6666667	932.3333333	1012.333333	759	834.3333333	920	1039	921
316103450	955.66	1046.666667	1045.666667	1045.666667	1046.666667	945.6666667	945.6666667	914.3333333	980	874.3333333	860	866.6666667	867.6666667	934.3333333	1013.333333	765.6666667	832.3333333	920	1040	920
316103455	955.57	1053.333333	1053.333333	1052.333333	1053.333333	953.3333333	952.3333333	913.3333333	992.3333333	874.3333333	866.6666667	871	870	940	1013.333333	766.6666667	834.3333333	920	1046.666667	921
316103500	955.47	1053.333333	1054.333333	1052.333333	1053.333333	956.6666667	956.6666667	921	992.3333333	874.3333333	867.6666667	870	870	939	1021	766.6666667	839	919	1045.666667	926.6666667
316103505	957	1052.333333	1052.333333	1054.333333	1054.333333	960	961	925.6666667	994.3333333	874.3333333	867.6666667	871	869	939	1020	773.3333333	840	919	1046.666667	932.3333333
316103510	957.84	1054.333333	1052.333333	1052.333333	1053.333333	965.6666667	965.6666667	933.3333333	1000	874.3333333	866.6666667	871	871	940	1019	773.3333333	846.6666667	921	1053.333333	926.6666667
316103515	958.77	1052.333333	1054.333333	1054.333333	1054.333333	13.33333333	648.8888889	932.3333333	1001	872.3333333	866.6666667	869	871	945.6666667	1026.666667	772.3333333	847.6666667	926.6666667	1053.333333	934.3333333
316103520	959.3	1054.333333	1054.333333	1052.333333	1054.333333	966.6666667	965.6666667	933.3333333	999	880	865.6666667	873.3333333	872.3333333	947.6666667	1032.333333	772.3333333	853.3333333	926.6666667	1054.333333	932.3333333
316103525	958.66	1052.333333	1052.333333	1054.333333	1053.333333	966.6666667	967.6666667	933.3333333	1000	881	874.3333333	876.6666667	875.6666667	953.3333333	1027.666667	779	846.6666667	926.6666667	1059	932.3333333
316103530	959.82	1060	1059	1059	1061	970	970	941	1000	881	874.3333333	877.6666667	877.6666667	947.6666667	1034.333333	781	852.3333333	933.3333333	1061	933.3333333
316103535	958.22	1067.666667	1066.666667	1066.666667	1065.666667	966.6666667	965.6666667	932.3333333	1001	879	881	880	881	954.3333333	1033.333333	780	852.3333333	934.3333333	1061	940
316103540	959.69	1067.666667	1065.666667	1067.666667	1067.666667	965.6666667	965.6666667	934.3333333	1001	893.3333333	880	887.6666667	885.6666667	959	1033.333333	786.6666667	861	940	1061	934.3333333
316103545	959.92	1066.666667	1067.666667	1065.666667	1067.666667	971	971	932.3333333	1005.666667	893.3333333	879	886.6666667	886.6666667	961	1039	785.6666667	861	934.3333333	1066.666667	947.6666667
316103550	960.15	1073.333333	1074.333333	1073.333333	1073.333333	12.33333333	656.5555556	939	1012.333333	892.3333333	881	886.6666667	886.6666667	965.6666667	1033.333333	787.6666667	852.3333333	940	1074.333333	945.6666667
316103555	959.25	1074.333333	1074.333333	1072.333333	1074.333333	940	941	941	940	893.3333333	887.6666667	890	891	952.3333333	1039	793.3333333	866.6666667	939	1065.666667	947.6666667
316103600	960.35	1072.333333	1073.333333	1072.333333	1074.333333	977.6666667	976.6666667	941	1014.333333	893.3333333	886.6666667	890	889	961	1041	792.3333333	867.6666667	947.6666667	1072.333333	947.6666667
316103605	963.47	1072.333333	1073.333333	1074.333333	1073.333333	984.3333333	984.3333333	953.3333333	1013.333333	893.3333333	886.6666667	891	890	961	1040	793.3333333	872.3333333	941	1072.333333	952.3333333
316103610	963.43	1079	1080	1081	1081	986.6666667	986.6666667	952.3333333	1019	900	887.6666667	894.3333333	892.3333333	961	1045.666667	794.3333333	872.3333333	946.6666667	1080	952.3333333
316103615	962.04	1080	1080	1081	1080	985.6666667	986.6666667	952.3333333	1019	899	892.3333333	896.6666667	897.6666667	966.6666667	1045.666667	801	872.3333333	946.6666667	1081	953.3333333
316103620	963.53	1079	1079	1081	1080	985.6666667	987.6666667	954.3333333	1019	900	893.3333333	896.6666667	896.6666667	967.6666667	1045.666667	800	872.3333333	954.3333333	1079	953.3333333
316103625	964.94	1086.666667	1086.666667	1086.666667	1087.666667	986.6666667	985.6666667	953.3333333	1019	905.6666667	893.3333333	899	900	974.3333333	1045.666667	805.6666667	872.3333333	952.3333333	1079	952.3333333
316103630	966.05	1086.666667	1085.666667	1087.666667	1087.666667	986.6666667	985.6666667	953.3333333	1020	907.6666667	900	903.3333333	902.3333333	972.3333333	1052.333333	805.6666667	873.3333333	954.3333333	1085.666667	961
316103635	965.81	1094.333333	1094.333333	1094.333333	1094.333333	952.3333333	953.3333333	952.3333333	954.3333333	912.3333333	906.6666667	911	909	981	1060	805.6666667	872.3333333	953.3333333	1092.333333	967.6666667
316103640	967.35	1094.333333	1092.333333	1093.333333	1093.333333	993.3333333	993.3333333	953.3333333	1033.333333	912.3333333	907.6666667	910	909	979	1054.333333	807.6666667	880	954.3333333	1094.333333	967.6666667
