1.000000000000000000e+00,8.833927178611786779e-01,8.751436145714240888e-01,8.790297264020586754e-01,8.762059711255932859e-01,8.932528472357794680e-01,8.879195724795531097e-01,8.890404612665636641e-01,9.013747104657565679e-01,8.056440354676172033e-01,8.062347584667718392e-01,8.124159966669401989e-01,8.065602357324936911e-01,8.694383022046862086e-01,8.770611994611662299e-01,8.590110471626564159e-01,8.359651399262726379e-01,8.576973757771338969e-01
8.833927178611786779e-01,1.000000000000000000e+00,9.996625702470358643e-01,9.997707964984642315e-01,9.996343400777499832e-01,9.982137279368231697e-01,9.985500138111910173e-01,9.983467076944555485e-01,9.969275832572263019e-01,9.840378997687199147e-01,9.841312194961172599e-01,9.827134602525711138e-01,9.843225780913104073e-01,9.949433271435401682e-01,9.950231546588681475e-01,9.934978834664305314e-01,9.913965828852013829e-01,9.779888617080083613e-01
8.751436145714241999e-01,9.996625702470359753e-01,1.000000000000000000e+00,9.998131809025184724e-01,9.997851517991135362e-01,9.973585956497480476e-01,9.980153506896830562e-01,9.977372345585444613e-01,9.955462572944089317e-01,9.869956605038915365e-01,9.870769543458102202e-01,9.854885378396737172e-01,9.872109024981704506e-01,9.952583886406436431e-01,9.950584570228143688e-01,9.943910390638669439e-01,9.930993691758754904e-01,9.774000578647283888e-01
8.790297264020586754e-01,9.997707964984642315e-01,9.998131809025184724e-01,1.000000000000000000e+00,9.998375787132994796e-01,9.977392206817903286e-01,9.982742984478267800e-01,9.980231680113429427e-01,9.961280377496134486e-01,9.857557827593880218e-01,9.859267049359335955e-01,9.844168866315806676e-01,9.859239504448942260e-01,9.952516799716530915e-01,9.951675718554536809e-01,9.940232022542730972e-01,9.923548649606220851e-01,9.775114640956257261e-01
8.762059711255933969e-01,9.996343400777499832e-01,9.997851517991135362e-01,9.998375787132995907e-01,9.999999999999998890e-01,9.973711488160872385e-01,9.980113569388144867e-01,9.977488945490570194e-01,9.955749911296913890e-01,9.869508544271813344e-01,9.871676687513156745e-01,9.857127158765833785e-01,9.871016507448348021e-01,9.953452474810188244e-01,9.950525701902233067e-01,9.940790991266779120e-01,9.926476848933729613e-01,9.774685020422325676e-01
8.932528472357794680e-01,9.982137279368230587e-01,9.973585956497480476e-01,9.977392206817903286e-01,9.973711488160872385e-01,1.000000000000000000e+00,9.997296627824091564e-01,9.998572570202806098e-01,9.995317738148299380e-01,9.788875396915061033e-01,9.790241419465146588e-01,9.781839008945768521e-01,9.791848935357242434e-01,9.947461438956554103e-01,9.953321019311388573e-01,9.929624900253010145e-01,9.890486773872780857e-01,9.768413385528500470e-01
8.879195724795531097e-01,9.985500138111911284e-01,9.980153506896830562e-01,9.982742984478266690e-01,9.980113569388145978e-01,9.997296627824091564e-01,1.000000000000000000e+00,9.997154382650779159e-01,9.986419598018801969e-01,9.809872878725900414e-01,9.811365083019886191e-01,9.800028812624164143e-01,9.812342461005859606e-01,9.954110094210685267e-01,9.957905665312184462e-01,9.938601023901003639e-01,9.906986424235854072e-01,9.774955644760925377e-01
8.890404612665637751e-01,9.983467076944554375e-01,9.977372345585444613e-01,9.980231680113429427e-01,9.977488945490570194e-01,9.998572570202806098e-01,9.997154382650780269e-01,1.000000000000000000e+00,9.990018153300643799e-01,9.808042579746365508e-01,9.809494920373457161e-01,9.800796854293514215e-01,9.810571332413930978e-01,9.951798015785630058e-01,9.955778709845469754e-01,9.935999656745232445e-01,9.901206676941719520e-01,9.768712115712435695e-01
9.013747104657565679e-01,9.969275832572263019e-01,9.955462572944088206e-01,9.961280377496135596e-01,9.955749911296912780e-01,9.995317738148300490e-01,9.986419598018801969e-01,9.990018153300643799e-01,9.999999999999998890e-01,9.743127161400255698e-01,9.744294654166849590e-01,9.738883364876333992e-01,9.746982602595979372e-01,9.928773450207865059e-01,9.938300200153761255e-01,9.906885666240377031e-01,9.856752804100920029e-01,9.753780554165011329e-01
8.056440354676172033e-01,9.840378997687199147e-01,9.869956605038915365e-01,9.857557827593879107e-01,9.869508544271813344e-01,9.788875396915061033e-01,9.809872878725900414e-01,9.808042579746366618e-01,9.743127161400255698e-01,1.000000000000000000e+00,9.998490721826012173e-01,9.989001130324018929e-01,9.997866192343135561e-01,9.830085711996080500e-01,9.804478803336472703e-01,9.843555457084109950e-01,9.887471289628223525e-01,9.622757496389370280e-01
8.062347584667719502e-01,9.841312194961173709e-01,9.870769543458102202e-01,9.859267049359335955e-01,9.871676687513156745e-01,9.790241419465148809e-01,9.811365083019887301e-01,9.809494920373457161e-01,9.744294654166849590e-01,9.998490721826012173e-01,1.000000000000000000e+00,9.987455049451483546e-01,9.997477854434186906e-01,9.832860389627060549e-01,9.806734318020073893e-01,9.844594521381888619e-01,9.887620620283293915e-01,9.622431589708762001e-01
8.124159966669401989e-01,9.827134602525711138e-01,9.854885378396737172e-01,9.844168866315807787e-01,9.857127158765834896e-01,9.781839008945767411e-01,9.800028812624164143e-01,9.800796854293514215e-01,9.738883364876335103e-01,9.989001130324018929e-01,9.987455049451483546e-01,9.999999999999998890e-01,9.983976633608517837e-01,9.816499645470095903e-01,9.792359919454053374e-01,9.825021459659303291e-01,9.856123110081220773e-01,9.594478750331487671e-01
8.065602357324936911e-01,9.843225780913102962e-01,9.872109024981704506e-01,9.859239504448943370e-01,9.871016507448348021e-01,9.791848935357241324e-01,9.812342461005858496e-01,9.810571332413930978e-01,9.746982602595979372e-01,9.997866192343134450e-01,9.997477854434188016e-01,9.983976633608518947e-01,9.999999999999998890e-01,9.831490724987865804e-01,9.805925242796250663e-01,9.844631828739559554e-01,9.888368034708900911e-01,9.626318381387334311e-01
