20.0	13.3333333333333	20.0.1	13.3333333333333.1	13.3333333333333.2	13.3333333333333.3	13.3333333333333.4	6.66666666666667.1	6.66666666666667.2	6.66666666666667.3	6.66666666666667.4	6.66666666666667.5	6.66666666666667.6	6.66666666666667.7	6.66666666666667.8	10.0	13.3333333333333.5	6.66666666666667.9
20.0	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	13.3333333333333	10.0	10.0	13.3333333333333	20.0	6.66666666666667
20.0	13.3333333333333	20.0	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	13.3333333333333	6.66666666666667	13.3333333333333	11.1111111111111	16.6666666666667	20.0	13.3333333333333
20.0	15.5555555555556	20.0	13.3333333333333	13.3333333333333	20.0	6.66666666666667	10.0	6.66666666666667	13.3333333333333	10.0	6.66666666666667	13.3333333333333	10.0	10.0	10.0	13.3333333333333	6.66666666666667
20.0	13.3333333333333	20.0	16.6666666666667	16.6666666666667	20.0	13.3333333333333	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	16.6666666666667	13.3333333333333	20.0	16.6666666666667	16.6666666666667	20.0	13.3333333333333
20.0	13.3333333333333	20.0	16.6666666666667	16.6666666666667	20.0	13.3333333333333	13.3333333333333	10.0	6.66666666666667	10.0	13.3333333333333	6.66666666666667	13.3333333333333	11.1111111111111	6.66666666666667	13.3333333333333	6.66666666666667
13.3333333333333	13.3333333333333	20.0	16.6666666666667	16.6666666666667	20.0	13.3333333333333	13.3333333333333	6.66666666666667	10.0	10.0	6.66666666666667	6.66666666666667	20.0	11.1111111111111	20.0	20.0	20.0
20.0	13.3333333333333	20.0	20.0	20.0	20.0	20.0	6.66666666666667	13.3333333333333	10.0	10.0	13.3333333333333	6.66666666666667	20.0	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333
20.0	13.3333333333333	20.0	20.0	20.0	20.0	20.0	13.3333333333333	6.66666666666667	6.66666666666667	8.88888888888889	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	10.0	13.3333333333333	6.66666666666667
20.0	13.3333333333333	20.0	16.6666666666667	16.6666666666667	20.0	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	13.3333333333333	10.0	6.66666666666667	13.3333333333333	10.0	6.66666666666667	13.3333333333333	13.3333333333333
20.0	13.3333333333333	20.0	20.0	20.0	20.0	20.0	20.0	13.3333333333333	6.66666666666667	13.3333333333333	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	6.66666666666667	20.0	13.3333333333333
